wav_name,audio_index,label,raw_prediction,ctc_loss,cer
audio1.wav,1,HELLO|,WHO ARM I,6.916905879974365,1.6
audio2.wav,2,YES|,YES,0.003500291844829917,0.0
audio3.wav,3,NO|,NO,0.7017953395843506,0.0
audio4.wav,4,WATER|,WATER,0.03657479211688042,0.0
audio5.wav,5,TEA|,SE,2.271263360977173,0.6666666666666666
audio6.wav,6,COFFEE|,COFE,0.009446723386645317,0.3333333333333333
audio7.wav,7,FOOD|,FOD,0.09689056873321533,0.25
audio8.wav,8,UP|,O,3.084522247314453,1.0
audio9.wav,9,DOWN|,DOWN,0.07497681677341461,0.0
audio10.wav,10,LEFT|,LOF,1.170796275138855,0.5
audio11.wav,11,RIGHT|,RIGT,0.33182957768440247,0.2
audio12.wav,12,LIGHT|,LIGHTS,0.9729798436164856,0.2
audio13.wav,13,DARK|,TAR,2.4478423595428467,0.5
audio14.wav,14,HEAD|,HEAD,0.1768302172422409,0.0
audio15.wav,15,ARM|,M,1.8522815704345703,0.6666666666666666
audio16.wav,16,ARMS|,AS,1.236893653869629,0.5
audio17.wav,17,LEG|,LEGS,1.5797450542449951,0.3333333333333333
audio18.wav,18,LEGS|,LEGS,0.005251957569271326,0.0
audio19.wav,19,HEART|,HES,2.1055448055267334,0.6
audio20.wav,20,HANDS|,HAMS,0.9410879015922546,0.4
audio21.wav,21,FOOT|,FO,1.7273566722869873,0.5
audio22.wav,22,FEET|,FEDS,1.1989431381225586,0.5
audio23.wav,23,ZERO|,ZERO,0.5383481979370117,0.0
audio24.wav,24,ONE|,ONE,0.3253990113735199,0.0
audio25.wav,25,TWO|,FEW,2.604945182800293,1.0
audio26.wav,26,THREE|,UY,2.248347043991089,1.0
audio27.wav,27,FOUR|,FIOI,3.2700488567352295,0.75
audio28.wav,28,FIVE|,FIVE,0.006408390589058399,0.0
audio29.wav,29,SIX|,SIX,0.07180420309305191,0.0
audio30.wav,30,SEVEN|,SEVEN,0.4623419940471649,0.0
audio31.wav,31,EIGHT|,TAS,3.4610490798950195,1.0
audio32.wav,32,NINE|,NINE,0.014606064185500145,0.0
audio33.wav,33,TIMES|,TIMES,0.02782776951789856,0.0
audio34.wav,34,STOP|,SO,2.0302093029022217,0.5
audio35.wav,35,GO|ON|,GO ON,0.17241805791854858,0.25
audio36.wav,36,BEFORE|,BEFORE,0.0442320816218853,0.0
audio37.wav,37,NOW|,NOW,0.017088426277041435,0.0
audio38.wav,38,AFTER|,AFTER,0.13877055048942566,0.0
audio39.wav,39,YESTERDAY|,YESTERDAY,0.005313661880791187,0.0
audio40.wav,40,TODAY|,TO DAY,0.3222052752971649,0.2
audio41.wav,41,TOMORROW|,ZINAE,2.8767426013946533,1.0
audio42.wav,42,SHOWER|,SHOWR,0.06809239834547043,0.16666666666666666
audio43.wav,43,WASH|,MASH,0.4499064087867737,0.25
audio44.wav,44,BATH|,BATH,0.27362996339797974,0.0
audio45.wav,45,LOVE|,NON,1.9129297733306885,0.75
audio46.wav,46,DAUGHTER|,DATER,0.9224319458007812,0.375
audio47.wav,47,SON|,SON,0.06287290155887604,0.0
audio48.wav,48,PARTNER|,HELE GOR,2.7823545932769775,1.0
audio49.wav,49,ASSISTANT|,ASISTANT,0.008033468388020992,0.1111111111111111
audio50.wav,50,NURSE|,NURSE,0.3530864417552948,0.0
audio51.wav,51,MUSIC|,YOUSA,2.898845911026001,0.8
audio52.wav,52,DRINK|,DRAIN,0.7277011275291443,0.4
audio53.wav,53,JAM|,JAM,0.49192196130752563,0.0
audio54.wav,54,YELLOW|,YELO,0.29837971925735474,0.3333333333333333
audio55.wav,55,WHAT|,WHAT,0.3556562066078186,0.0
audio56.wav,56,WHERE|,WIL,2.120945692062378,0.8
audio57.wav,57,WHEN|,WHEN,0.08874933421611786,0.0
audio58.wav,58,WHY|,WHY,0.014584398828446865,0.0
audio59.wav,59,WHO|,WO,0.977720320224762,0.3333333333333333
audio60.wav,60,HOW|,HOW,2.838369131088257,0.0
audio61.wav,61,THANK|YOU|,AIN'T YOU,2.7457478046417236,0.75
audio62.wav,62,I|NEED|,I NED,0.1606694608926773,0.4
audio63.wav,63,I|WANT|,I WANT,0.006118948105722666,0.2
audio64.wav,64,I|CAN|,I SHAN,0.7651031613349915,0.75
audio65.wav,65,I|CAN|T|,ARCINS,4.121467113494873,0.8
audio66.wav,66,SURE|,SURE,0.40930208563804626,0.0
audio67.wav,67,JOY|,JY,0.2400781512260437,0.3333333333333333
audio68.wav,68,HELP|,HO,3.292051315307617,0.75
audio69.wav,69,QUIT|,WAIT,2.6691455841064453,0.5
audio70.wav,70,HOT|,HEARTS,5.6797990798950195,1.3333333333333333
audio71.wav,71,COLD|,PES,3.397712230682373,1.0
audio72.wav,72,EGG|,AY,3.5382742881774902,1.0
audio73.wav,73,RIBBON|,RIBEN,0.30213862657546997,0.3333333333333333
audio74.wav,74,PALM|,PAN,2.1146411895751953,0.5
